Date,value
1/1/1952,156309
2/1/1952,156527
3/1/1952,156731
4/1/1952,156943
5/1/1952,157140
6/1/1952,157343
7/1/1952,157553
8/1/1952,157798
9/1/1952,158053
10/1/1952,158306
11/1/1952,158451
12/1/1952,158757
1/1/1953,158973
2/1/1953,159170
3/1/1953,159349
4/1/1953,159556
5/1/1953,159745
6/1/1953,159956
7/1/1953,160184
8/1/1953,160449
9/1/1953,160718
10/1/1953,160978
11/1/1953,161223
12/1/1953,161453
1/1/1954,161690
2/1/1954,161912
3/1/1954,162124
4/1/1954,162350
5/1/1954,162564
6/1/1954,162790
7/1/1954,163026
8/1/1954,163290
9/1/1954,163570
10/1/1954,163847
11/1/1954,164107
12/1/1954,164349
1/1/1955,164588
2/1/1955,164809
3/1/1955,165018
4/1/1955,165251
5/1/1955,165463
6/1/1955,165695
7/1/1955,165931
8/1/1955,166192
9/1/1955,166473
10/1/1955,166755
11/1/1955,167023
12/1/1955,167270
1/1/1956,167513
2/1/1956,167746
3/1/1956,167977
4/1/1956,168221
5/1/1956,168436
6/1/1956,168659
7/1/1956,168903
8/1/1956,169191
9/1/1956,169488
10/1/1956,169780
11/1/1956,170063
12/1/1956,170315
1/1/1957,170571
2/1/1957,170806
3/1/1957,171029
4/1/1957,171271
5/1/1957,171501
6/1/1957,171741
7/1/1957,171984
8/1/1957,172257
9/1/1957,172538
10/1/1957,172816
11/1/1957,173070
12/1/1957,173298
1/1/1958,173533
2/1/1958,173746
3/1/1958,173945
4/1/1958,174176
5/1/1958,174397
6/1/1958,174639
7/1/1958,174882
8/1/1958,175143
9/1/1958,175413
10/1/1958,175697
11/1/1958,175966
12/1/1958,176207
1/1/1959,176447
2/1/1959,176685
3/1/1959,176905
4/1/1959,177146
5/1/1959,177365
6/1/1959,177591
7/1/1959,177830
8/1/1959,178101
9/1/1959,178376
10/1/1959,178657
11/1/1959,178921
12/1/1959,179153
1/1/1960,179386
2/1/1960,179597
3/1/1960,179788
4/1/1960,180007
5/1/1960,180222
6/1/1960,180444
7/1/1960,180671
8/1/1960,180945
9/1/1960,181238
10/1/1960,181528
11/1/1960,181796
12/1/1960,182042
1/1/1961,182287
2/1/1961,182520
3/1/1961,182742
4/1/1961,182992
5/1/1961,183217
6/1/1961,183452
7/1/1961,183691
8/1/1961,183958
9/1/1961,184243
10/1/1961,184524
11/1/1961,184783
12/1/1961,185016
1/1/1962,185242
2/1/1962,185452
3/1/1962,185650
4/1/1962,185874
5/1/1962,186087
6/1/1962,186314
7/1/1962,186538
8/1/1962,186790
9/1/1962,187058
10/1/1962,187323
11/1/1962,187574
12/1/1962,187796
1/1/1963,188013
2/1/1963,188213
3/1/1963,188387
4/1/1963,188580
5/1/1963,188790
6/1/1963,189018
7/1/1963,189242
8/1/1963,189496
9/1/1963,189761
10/1/1963,190028
11/1/1963,190265
12/1/1963,190472
1/1/1964,190668
2/1/1964,190858
3/1/1964,191047
4/1/1964,191245
5/1/1964,191447
6/1/1964,191666
7/1/1964,191889
8/1/1964,192131
9/1/1964,192376
10/1/1964,192631
11/1/1964,192847
12/1/1964,193039
1/1/1965,193223
2/1/1965,193393
3/1/1965,193540
4/1/1965,193709
5/1/1965,193888
6/1/1965,194087
7/1/1965,194303
8/1/1965,194528
9/1/1965,194761
10/1/1965,194997
11/1/1965,195195
12/1/1965,195372
1/1/1966,195539
2/1/1966,195688
3/1/1966,195831
4/1/1966,195999
5/1/1966,196178
6/1/1966,196372
7/1/1966,196560
8/1/1966,196762
9/1/1966,196984
10/1/1966,197207
11/1/1966,197398
12/1/1966,197572
1/1/1967,197736
2/1/1967,197892
3/1/1967,198037
4/1/1967,198206
5/1/1967,198363
6/1/1967,198537
7/1/1967,198712
8/1/1967,198911
9/1/1967,199113
10/1/1967,199311
11/1/1967,199498
