Data,Train RMSE,Train MAPE,Test RMSE,Test MAPE,1-step RMSE,3-step RMSE,5-step RMSE,10-step RMSE,1-step MAPE,3-step MAPE,5-step MAPE,10-step MAPE
passengers_df,23.1553,7.952,39.0433,8.1,5.1511,4.0363,59.0721,57.2352,1.2294,0.813,5.9694,6.799
alcohol_df,874.5974,10.242,1439.2336,10.0349,174.8137,1919.9713,1826.6983,1985.7955,1.4667,11.3003,11.0212,12.2361
beer_df,16.9483,9.8047,20.1164,10.345,44.5238,33.7519,26.6218,22.2573,23.4336,16.5409,12.1041,11.8124
electric_df,5.1421,2.9751,4.1137,3.0621,1.9187,9.0547,8.8683,13.4696,2.1716,7.9146,6.9188,9.3818
minTemp_df,2.6516,31.0222,2.5199,51.0933,5.5673,4.0635,4.1078,3.6002,49.7077,30.7679,28.4823,31.4363
gdp_df,0.0669,0.045,0.4483,0.1101,0.016,0.2695,0.7369,1.9779,0.0163,0.2116,0.5633,1.5912
sunspots_df,26.0855,50.6617,21.3238,79.4183,46.6155,32.6473,33.8417,36.3276,83.8408,45.6633,47.8766,53.3397
SP_df,8.8815,1.3289,3.0077,0.8901,0.67,1.2911,1.506,1.8389,0.526,0.9342,1.0989,1.3518
yahoo_df,77.1375,0.4626,20.6418,0.4713,9.906,11.6004,13.0976,16.4608,0.3466,0.3711,0.4353,0.4908
tesla_df,1.702,2.6854,6.4549,2.7001,0.71,2.4073,2.1687,10.7318,0.3481,1.0261,0.9123,2.6593
