Data,Train RMSE,Train MAPE,Test RMSE,Test MAPE,1-step RMSE,3-step RMSE,5-step RMSE,10-step RMSE,1-step MAPE,3-step MAPE,5-step MAPE,10-step MAPE
passengers_df,21.8325,7.6945,44.4948,9.193,5.1588,38.0819,30.0718,153.7588,1.2162,6.6314,5.2704,19.0431
alcohol_df,967.8703,9.4491,1787.3456,15.3506,644.1787,2378.8049,2339.5598,2531.5456,5.7134,17.6783,18.5181,19.3968
beer_df,16.1232,9.6597,18.1124,9.1365,35.5251,22.9038,21.7029,23.3883,22.9973,11.8017,12.0625,13.5026
electric_df,7.3517,6.8072,5.0272,3.9865,12.7592,6.5787,9.4141,6.9391,12.6189,5.492,6.0537,4.5333
minTemp_df,2.566,18.7259,2.4857,19.6463,4.5449,4.6861,3.9504,3.5108,68.2909,62.3552,47.3124,36.6592
gdp_df,0.115,0.0669,0.6184,0.1907,0.2463,0.287,0.4393,0.4447,0.2519,0.27,0.4334,0.3793
sunspots_df,27.4217,92.3634,22.1683,74.9147,32.3827,16.3874,14.1766,17.3493,36.8057,15.6589,15.6909,20.8941
SP_df,8.1431,7.2839,3.958,1.5846,1.3247,0.9032,0.9513,1.1314,1.051,0.673,0.6226,0.7498
yahoo_df,30.3045,1.0272,38.3651,0.8768,1.126,9.4766,7.9565,16.2179,0.0394,0.2345,0.1955,0.4574
tesla_df,5.4703,15.4804,47.8966,58.2181,2.7699,5.3333,4.6661,10.0762,1.3766,2.5789,2.1978,3.6867
