Data,Train RMSE,Train MAPE,Test RMSE,Test MAPE,1-step RMSE,3-step RMSE,5-step RMSE,10-step RMSE,1-step MAPE,3-step MAPE,5-step MAPE,10-step MAPE
passengers_df,42.8743,13.6678,12.5596,2.5737,21.5493,17.3709,48.3357,57.8942,5.143,3.3831,7.0715,9.6202
alcohol_df,343.6624,3.6875,379.5691,2.5817,71.662,1428.7827,1640.1554,1973.8319,0.6012,6.7507,9.716,12.5927
beer_df,10.373,5.5534,9.8482,5.1045,33.929,31.5944,25.2453,21.2413,17.8574,17.0807,12.7936,11.2842
electric_df,4.7129,2.3323,3.118,2.4091,5.0534,7.4457,7.3414,11.6057,5.7196,7.1175,6.394,9.1517
minTemp_df,2.6517,31.0231,2.5226,49.7284,5.6726,4.1602,4.162,3.6125,50.6486,31.3242,28.1137,30.8595
gdp_df,4.1711,0.2596,0.4569,0.1294,0.0996,0.5096,1.1381,2.7319,0.1016,0.4315,0.9238,2.2553
sunspots_df,26.0855,50.6617,21.3238,79.4183,46.6155,32.6473,33.8417,36.3276,83.8408,45.6633,47.8766,53.3397
SP_df,8.8815,1.3289,3.0077,0.8901,0.67,1.2911,1.506,1.8389,0.526,0.9342,1.0989,1.3518
yahoo_df,77.1375,0.4626,20.6418,0.4713,9.906,11.6004,13.0976,16.4608,0.3466,0.3711,0.4353,0.4908
tesla_df,1.702,2.6854,6.4549,2.7001,0.71,2.4073,2.1687,10.7318,0.3481,1.0261,0.9123,2.6593
