Data,Train RMSE,Train MAPE,Test RMSE,Test MAPE,1-step RMSE,3-step RMSE,5-step RMSE,10-step RMSE,1-step MAPE,3-step MAPE,5-step MAPE,10-step MAPE
passengers_df,13.599,6.7699,15.4675,3.9804,0.688,26.484,85.9102,82.1982,0.1642,5.5552,15.5057,15.1813
alcohol_df,378.121,6.1012,411.6895,3.7024,0.8942,1555.512,1309.0746,1603.7959,0.0075,10.5102,8.7155,10.4084
beer_df,6.7118,5.3076,6.9042,4.2708,0.5332,22.7059,21.5623,21.6613,0.2806,13.6384,13.2518,12.3305
electric_df,2.5539,2.952,2.7352,2.5715,0.6502,6.7129,10.0192,14.9463,0.7359,6.9079,8.944,12.7673
minTemp_df,1.1279,15.2287,1.1673,18.9503,0.3452,2.2195,2.3694,3.4005,3.0821,21.7792,22.1511,29.7014
gdp_df,0.3409,0.3225,0.3442,0.3257,0.3584,0.229,0.5998,1.4201,0.3656,0.2001,0.5478,1.2847
sunspots_df,16.866,120.8213,18.1587,374.233,0.1932,18.707,15.869,21.9578,0.3475,20.352,16.1369,22.6988
SP_df,8.7795,12.8903,8.7621,7.6775,0.4165,0.5072,0.5732,0.6664,0.327,0.3271,0.3737,0.4282
yahoo_df,39.0949,1.7314,41.0009,1.5061,0.9607,9.4505,12.4834,12.7531,0.0336,0.2321,0.365,0.3626
tesla_df,3.8371,12.8014,4.7337,2.9598,1.3267,3.3683,3.2976,17.3318,0.6504,1.214,1.2208,7.4516
